E1,E1s,E2,E2i,i,p,s,
50,0,50,0,0,0,1000,
49,1,50,0,0,0,999,
48,2,50,0,0,0,998,
47,3,50,0,0,0,997,
46,4,50,0,0,0,996,
45,5,50,0,0,0,995,
44,6,50,0,0,0,994,
43,7,50,0,0,0,993,
42,8,50,0,0,0,992,
41,9,50,0,0,0,991,
40,10,50,0,0,0,990,
39,11,50,0,0,0,989,
38,12,50,0,0,0,988,
37,13,50,0,0,0,987,
36,14,50,0,0,0,986,
35,15,50,0,0,0,985,
34,16,50,0,0,0,984,
33,17,50,0,0,0,983,
32,18,50,0,0,0,982,
31,19,50,0,0,0,981,
30,20,50,0,0,0,980,
29,21,50,0,0,0,979,
28,22,50,0,0,0,978,
27,23,50,0,0,0,977,
26,24,50,0,0,0,976,
25,25,50,0,0,0,975,
24,26,50,0,0,0,974,
23,27,50,0,0,0,973,
22,28,50,0,0,0,972,
21,29,50,0,0,0,971,
20,30,50,0,0,0,970,
19,31,50,0,0,0,969,
18,32,50,0,0,0,968,
17,33,50,0,0,0,967,
16,34,50,0,0,0,966,
15,35,50,0,0,0,965,
14,36,50,0,0,0,964,
13,37,50,0,0,0,963,
12,38,50,0,0,0,962,
11,39,50,0,0,0,961,
10,40,50,0,0,0,960,
9,41,50,0,0,0,959,
8,42,50,0,0,0,958,
7,43,50,0,0,0,957,
6,44,50,0,0,0,956,
5,45,50,0,0,0,955,
4,46,50,0,0,0,954,
3,47,50,0,0,0,953,
2,48,50,0,0,0,952,
1,49,50,0,0,0,951,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
0,50,50,0,0,0,950,
